Code;Classification;Cause;Measures to take when an alert occurs;Estimated abnormal parts;Correction;Note;Solution;Faulty part isolation DIPSW;Control during the detachment
C-0001;Main body: Communication error;Communication error between the printer control board (PRCB) and the PF drive board (PFDB), PFU drive board (PFUDB) or the LU drive board (LUDB).;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • PF drive board (PFDB) • PFU drive board (PFUDB) • LU drive board (LUDB);Deactivate and activate the sub power switch (SW2) of the main body.;- Be careful not to confuse the LUDB of LU-202m with the LUDB of LU-202XLm.;1. Deactivate the sub power switch and the main power switch, and then unplug the power plug. Then Restart the main body after 10 seconds. 2. PF-602m: Check the connector connection between PRCB and PFDB, and the wiring. Then repair it when there is any abnormality. PF-707m: Check the connector connection between PRCB and PFUDB, and the wiring. Then repair it when there is any abnormality. LU-202m: Check the connector connection between PRCB and LUDB, and the wiring. Then repair it when there is any abnormality. LU-202XLm: Check the connector connection between PRCB and LUDB, and the wiring. Then repair it when there is any abnormality. 3. Replace PRCB. 4. PF-602m: Replace PFDB. PF-707m: Replace PFUDB. LU-202m: Replace LUDB. LU-202XLm: Replace LUDB.;;
C-0002;Main body: Communication error;Communication error between the printer control board (PRCB) and the conveyance drive board (CDB).;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • Conveyance drive board (CDB);Deactivate and activate the sub power switch (SW2) of the main body.;"- The message """"Please turn on power again"""" is displayed on the touch panel.";1. Deactivate the sub power switch and the main power switch, and then unplug the power plug. Then Restart the main body after 10 seconds. 2. Check the connector connection between PRCB and CDB, and the wiring. Then repair it when there is any abnormality. 3. Replace PRCB. 4. Replace CDB.;;
C-0101;Main body: Paper feed motor abnormality;When the paper feed motor/Up (M11) is active, an error detection signal of M11 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• DC power supply/2 (DCPS2) • Printer control board (PRCB) • Paper feed motor/Up (M11);;"- The message """"Please call service"""" is displayed on the panel.";1. Check that the front door is closed properly, and repair it when there is any abnormality. 2. Check the connector connection between M11 and PRCB, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection between M11 and DCPS2, and the wiring. Then repair it when there is any abnormality. 4. Check the IO Check (28-00) drive of M11 and the coupling of the gear, and repair it when there is any abnormality. (Wiring diagram: Main body (2/5): 4-N) 5. Replace M11. 6. Replace PRCB. 7. Replace DCPS2.;;
C-0102;LU: LU paper feed motor abnormality;An error detection signal of M1 is detected continuously for a specified period of time while the paper feed motor (M1) is active.;when an alert occurs The main body and the option stop immediately.;• LU drive board (LUDB) • Paper feed motor (M1) • Interlock switch/1 (MS1), interlock switch/2 (MS2) • Upper door sensor (PS100), front door sensor (PS115);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;- Be careful not to confuse the LUDB of LU-202m with the LUDB of LU-202XLm.;1. LU-202m: Check the connector connection and the wiring between LUDB and M1, and repair it when there is any abnormality. LU-202XLm: Check the connector connection and the wiring harness between LUDB and M1, and if there is any abnormality, repair it. 2. LU-202m: Check IO Check (25-06) of MS1, IO Check (25-05) of MS2, Check PS100, PS115, and repair or replace if there is any abnormality. (Wiring diagram: LU-202m: 6-C, 8-B) U-202XLm: Check the IO Check (25-06) of MS1, the IO Check (25-05) of MS2, PS100, PS115, and repair or replace it if there is any abnormality. (Wiring diagram: LU-202XLm: 6-C, 8-B) 3. LU-202m: Check the M1 IO Check (28-01) drive or the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: LU-202m: 5-B) LU-202XLm: Check the M1 IO Check (28-01) drive or the coupling of the gear. Then repair or replace it when there is any abnormality. (Wiring diagram: LU-202XLm: 5-A) 4. Replace M1. 5. LU-202m: Replace LUDB. LU-202XLm: Replace LUDB.;DIPSW 18-3;The LU paper feed is not available
C-0103;PF: PF-602m paper feed motor abnormality;When the paper feed motor (M1) is active, an error detection signal of M1 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• PF drive board (PFDB) • Paper feed motor (M1) • Front door open close switch (SW1) • Front door open close sensor (PS23);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection and the wiring between PFDB and M1, and repair it when there is any abnormality. 2. Check IO Check (25-09) of SW1 and PS23, and repair or replace it when there is any abnormality (Wiring diagram: PF: 9-U, 10-U) 3. Check IO Check (28-02) of M1 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: PF: 19-U) 4. Replace M1. 5. Replace PFDB.;DIPSW35-0 DIPSW35-1;The PF paper feed is not available
C-0104;Main body: Paper feed motor abnormality;When the paper feed motor/Lw (M12) is active, an error detection signal of M12 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• DC power supply/2 (DCPS2) • Printer control board (PRCB) • Paper feed motor/Lw (M12);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection and the wiring among M12 and PRCB. Then repair it when there is any abnormality. 2. Check the connector connection and the wiring among M12 and DCPS2. Then repair it when there is any abnormality. 3. Check IO Check (28-03) of M12 and the coupling of the gear, and repair it when there is any abnormality. (Wiring diagram: Main body (2/5): 4-N) 4. Replace M12. 5. Replace PRCB. 6. Replace DCPS2.;;
C-0113;PF: PF-707m (1st tandem) loop motor abnormality;An error signal is detected while the loop motor/1 (M5) is activated.;when an alert occurs The main body and the option stop immediately.;• Loop motor/1 (M5) • PF drive board (PFUDB);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection between PFUDB and M5 and the wiring. Then repair it when there is any abnormality. 2. Check IO Check (26-10) and others of M5 and the coupling of the gear, and repair or replace it and replace PFDB when there is any abnormality (Wiring diagram: PF (1/2): 12-F) 3. Replace M5. 4. Replace PFUDB.;DIPSW35-0 DIPSW35-1 DIPSW35-2;The Paper feed in the tray 3-5 is unavailable.
C-0114;PF: PF-707m (1st tandem) loop motor abnormality;An error signal is detected while the loop motor/2 (M6) is activated.;when an alert occurs The main body and the option stop immediately.;• Loop motor/2 (M6) • PF drive board (PFUDB);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connections between PFUDB and M6, and the wiring. Then repair it when there is any abnormality. 2. Check IO Check (26-12) and others of M6 and the coupling of the gear, and repair or replace it and replace PFDB when there is any abnormality (Wiring diagram: PF (1/2): 22-K) 3. Replace M6. 4. Replace PFUDB.;DIPSW35-0 DIPSW35-1 DIPSW35-2;The Paper feed in the tray 3-5 is unavailable.
C-0115;PF: PF-707m (1st tandem) paper feed belt motor abnormality;An error signal is detected while the paper feed belt motor (M1) is active.;when an alert occurs The main body and the option stop immediately.;• Paper feed belt motor (M1) • PF drive board (PFUDB);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection between PFUDB and M1 and the wiring. Then repair it when there is any abnormality. 2. Check IO Check (28-12) and others of M1 and the coupling of the gear, and repair or replace it and replace PFDB when there is any abnormality (Wiring diagram: PF (1/2): 1-G) 3. Replace M1. 4. Replace PFDB.;DIPSW35-0 DIPSW35-1 DIPSW35-2;The Paper feed in the tray 3-5 is unavailable.
C-0116;PF: PF-707m (1st tandem) horizontal conveyance motor abnormality;An error signal is detected while the horizontal conveyance motor (M3) is active.;when an alert occurs The main body and the option stop immediately.;• Horizontal conveyance motor (M3) • PF drive board (PFUDB);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection between PFUDB and M3 and the wiring. Then repair it when there is any abnormality. 2. Check IO Check (28-11) of M3 and the coupling of the gear, repair or replace it when there is any abnormality, and then replace PFDB (Wiring diagram: PF (1/2): 4-F) 3. Replace M3. 4. Replace PFUDB.;DIPSW35-0 DIPSW35-1 DIPSW35-2;The Paper feed in the tray 3-5 is unavailable.
C-0117;PF: PF-707m (1st tandem) vertical conveyance motor abnormality;An error signal is detected while the vertical conveyance motor (M2) is activated.;when an alert occurs The main body and the option stop immediately.;• Vertical conveyance motor (M2) • PF drive board (PFUDB);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection between PFUDB and M2 and the wiring. Then repair it when there is any abnormality. 2. Check IO Check (28-10) of M2 and the coupling of the gear, repair or replace it when there is any abnormality, and then replace PFDB. (Wiring diagram: PF (1/2): 3-G) 3. Replace M2. 4. Replace PFUDB.;DIPSW35-0 DIPSW35-1 DIPSW35-2;The Paper feed in the tray 3-5 is unavailable.
C-0118;FA-502 (1st tandem): Tandem conveyance motor abnormality;An error signal is detected while the tandem conveyance motor (M4) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Tandem conveyance motor (M4);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-13) of the tandem conveyance motor (M4) (FA-502 1st tandem). 2. When the result of the IO Check in the step 1 is normal, M4 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M4, CN153 of PFUDB, CN230 of M4, and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M4, and repair it when there is any abnormality. 5. Replace M4. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW35-3 to DIPSW35-5, DIPSW38-0 to DIPSW38-2;Paper feed in the tray 4 to the tray 9 is unavailable.
C-0119;PF-707m (2nd tandem): Loop motor abnormality;An error signal is detected while the loop motor/1 (M5) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Loop motor/1 (M5);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (26-20) of the loop motor/1 (M5) (PF 2nd tandem: 985 mm/s). 2. When the result of the IO Check in the step 1 is normal, M5 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M5, CN154 of PFUDB, CN231 of M5, and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M5, and repair it when there is any abnormality. 5. Replace M5. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW35-3 to DIPSW35-5, DIPSW38-0 to DIPSW38-2;Paper feed in the tray 4 to the tray 9 is unavailable.
C-0120;PF-707m (2nd tandem): Loop motor abnormality;An error signal is detected while the loop motor/2 (M6) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Loop motor/2 (M6);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (26-22) of the loop motor/2 (M6) (PF 2nd tandem: 985 mm/s). 2. When the result of the IO Check in the step 1 is normal, M6 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M6, CN155 of PFUDB, CN370 of M6, CN350 (tray 6 drawer), CN385 (near the drawer), and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M6, and repair it when there is any abnormality. 5. Replace M6. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW35-3 to DIPSW35-5, DIPSW38-0 to DIPSW38-2;Paper feed in the tray 4 to the tray 9 is unavailable.
C-0121;PF-707m (2nd tandem): Paper feed belt motor abnormality;An error signal is detected while the paper feed belt motor (M1) is active.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Paper feed belt motor (M1);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-24) of the paper feed belt motor (M1) (PF 2nd tandem). 2. When the result of the IO Check in the step 1 is normal, M1 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M1, CN150 of PFUDB, CN227 of M1, CN165 (paper feed belt drive) and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M1, and repair it when there is any abnormality. 5. Replace M1. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW35-3 to DIPSW35-5, DIPSW38-0 to DIPSW38-2;Paper feed in the tray 4 to the tray 9 is unavailable.
C-0122;PF-707m (2nd tandem): Horizontal conveyance motor abnormality;An error signal is detected while the horizontal conveyance motor (M3) is active.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Horizontal conveyance motor (M3);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-23) of the horizontal conveyance motor (M3) (PF 2nd tandem). 2. When the result of the IO Check in the step 1 is normal, M3 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M3, CN152 of PFUDB, CN229 of M3, and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M3, and repair it when there is any abnormality. 5. Replace M3. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW35-3 to DIPSW35-5, DIPSW38-0 to DIPSW38-2;Paper feed in the tray 4 to the tray 9 is unavailable.
C-0123;PF-707m (2nd tandem): Vertical conveyance motor abnormality;An error signal is detected while the vertical conveyance motor (M2) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Vertical conveyance motor (M2);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-22) of the vertical conveyance motor (M2) (PF 2nd tandem). 2. When the result of the IO Check in the step 1 is normal, M2 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M2, CN151 of PFUDB, CN228 of M2, CN166 (vertical conveyance section), and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M2, and repair it when there is any abnormality. 5. Replace M2. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW35-3 to DIPSW35-5, DIPSW38-0 to DIPSW38-2;Paper feed in the tray 4 to the tray 9 is unavailable.
C-0124;PF-707m (2nd tandem): Tandem conveyance motor abnormality;An error signal is detected while the tandem conveyance motor (M4) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Tandem conveyance motor (M4);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-25) of the tandem conveyance motor (M4) (FA-502 2nd tandem). 2. When the result of the IO Check in the step 1 is normal, M4 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M4, CN153 of PFUDB, CN230 of M4, and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M4, and repair it when there is any abnormality. 5. Replace M4. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW38-0 to DIPSW38-2;Paper feed in the tray 7 to the tray 9 is unavailable.
C-0125;PF-707m (3rd tandem): Loop motor abnormality;An error signal is detected while the loop motor/1 (M5) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Loop motor/1 (M5);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (26-30) of the loop motor/1 (M5) (PF 3rd tandem: 985 mm/s). 2. When the result of the IO Check in the step 1 is normal, M5 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M5, CN154 of PFUDB, CN231 of M5, and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M5, and repair it when there is any abnormality. 5. Replace M5. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW38-0 to DIPSW38-2;Paper feed in the tray 7 to the tray 9 is unavailable.
C-0126;PF-707m (3rd tandem): Loop motor abnormality;An error signal is detected while the loop motor/2 (M6) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Loop motor/2 (M6);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (26-32) of the loop motor/2 (M6) (PF 3rd tandem: 985 mm/s). 2. When the result of the IO Check in the step 1 is normal, M6 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M6, CN155 of PFUDB, CN370 of M6, CN350 (tray 9 drawer), CN385 (near the drawer), and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M6, and repair it when there is any abnormality. 5. Replace M6. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW38-0 to DIPSW38-2;Paper feed in the tray 7 to the tray 9 is unavailable.
C-0127;PF-707m (3rd tandem): Paper feed belt motor abnormality;An error signal is detected while the paper feed belt motor (M1) is active.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Paper feed belt motor (M1);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-84) of the paper feed belt motor (M1) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, M1 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M1, CN150 of PFUDB, CN227 of M1, CN165 (paper feed belt drive) and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M1, and repair it when there is any abnormality. 5. Replace M1. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW38-0 to DIPSW38-2;Paper feed in the tray 7 to the tray 9 is unavailable.
C-0128;PF-707m (3rd tandem): Horizontal conveyance motor abnormality;An error signal is detected while the horizontal conveyance motor (M3) is active.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Horizontal conveyance motor (M3);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-83) of the horizontal conveyance motor (M3) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, M3 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M3, CN152 of PFUDB, CN229 of M3, and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M3, and repair it when there is any abnormality. 5. Replace M3. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW38-0 to DIPSW38-2;Paper feed in the tray 7 to the tray 9 is unavailable.
C-0129;PF-707m (3rd tandem): Vertical conveyance motor abnormality;An error signal is detected while the vertical conveyance motor (M2) is activated.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB) • Vertical conveyance motor (M2);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";"1. Execute the IO Check (28-82) of the vertical conveyance motor (M2) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, M2 is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between PFUDB and M2, CN151 of PFUDB, CN228 of M2, CN166 (vertical conveyance section), and the wiring. Then repair it when there is any abnormality. 4. Check the coupling of the gear of M2, and repair it when there is any abnormality. 5. Replace M2. 6. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";DIPSW38-0 to DIPSW38-2;Paper feed in the tray 7 to the tray 9 is unavailable.
