Model Name;Page;Key;Parts No.;Parts Name;Destinations;Class;Quantity;Ship Unit;PMN No.
AccurioPress C4080;1;1;A50U162701;Reinforce  Plate;;D;1;1;KOM250668E0
AccurioPress C4080;1;1;AC57162700;Reinforce  Plate;;D;1;1;KOM250668E0
AccurioPress C4080;1;2;A50U162900;Reinforce  Plate  /2;;D;1;1;KOM250668E0
AccurioPress C4080;1;3;AC57162001;Cover /Right;;D;1;1;
AccurioPress C4080;1;4;AC57162101;Protection Cover /1;;D;1;1;KOM242416E0
AccurioPress C4080;1;5;AC57162201;Cover /Right;;D;1;1;
AccurioPress C4080;1;6;A9VE162500;Protection  Cover  /Lower;;D;1;1;
AccurioPress C4080;1;7;A9VE162800;Bypass  Cover;;D;1;1;
AccurioPress C4080;1;8;A9VE163200;Protection  Cover;;D;1;1;
AccurioPress C4080;1;9;AC57162600;Cover;;D;1;1;
AccurioPress C4080;1;10;1154467001;PROTECTION;;C;1;10;KOM241571E0
AccurioPress C4080;1;a;V114040604;Screw;;V;;100;
AccurioPress C4080;1;b;V114041004;screw;;V;;100;
AccurioPress C4080;1;c;V121031004;screw;;V;;100;
AccurioPress C4080;1;d;V127030604;Screw;;V;;100;
AccurioPress C4080;1;e;V211040080;washer;;V;;100;
AccurioPress C4080;2;1;40AA30270;DEVELOPING SPACER;;C;1;1;
AccurioPress C4080;2;2;55VA90840;MAIN EARTH WIRE;;D;1;1;
AccurioPress C4080;2;3;56AA12241;EXTERNAL LOCK PLATE;;D;1;1;
AccurioPress C4080;2;4;A50U160500;Fixing  Plate;;D;1;1;
AccurioPress C4080;2;5;A50U161502;Reinforce  Door  /Right;;D;1;1;
AccurioPress C4080;2;6;AC57161600;Cover Duct /Front;;D;1;1;
AccurioPress C4080;2;7;A50U161700;Sealing  Cushion  /1;;D;1;5;
AccurioPress C4080;2;8;AC57161800;Seal;;D;2;5;
AccurioPress C4080;2;9;A50U164100;Detecting  Actuator;;D;1;1;
AccurioPress C4080;2;10;A50U164200;Detecting  Part;;D;1;1;
AccurioPress C4080;2;11;A50U164901;Suction Dust-proof Filter;;A;1;1;
AccurioPress C4080;2;12;A50U165500;Reinforce  Hinge;;D;1;1;
AccurioPress C4080;2;13;A50U165600;Sealing  Cushion  /2;;D;1;5;
AccurioPress C4080;2;14;A50U166100;Hinge  /Lower;;D;1;1;
AccurioPress C4080;2;15;A50U166200;Support  Shaft  /Lower;;D;1;1;
AccurioPress C4080;2;16;A50U167201;Lock  Cover;;D;1;1;
AccurioPress C4080;2;17;A50U167500;Lock  Plate;;D;1;5;
AccurioPress C4080;2;18;A50U167601;Detecting  Part;;D;1;1;
AccurioPress C4080;2;19;A50U169900;Reinforce  Wire;;D;1;1;
AccurioPress C4080;2;20;A50U863100;Sheet;;D;1;1;KOM210682E0
AccurioPress C4080;2;21;A50U945601;Operation  Label;;D;1;1;
AccurioPress C4080;2;22;A50U946503;Operation  Label  /A;;D;1;1;
AccurioPress C4080;2;23;A50UF16000;Left Door Support Plate / Upper Caulking;;D;1;1;
AccurioPress C4080;2;24;A50UF16101;Right Door Support Plate / Lower Caulkin;;D;1;1;
AccurioPress C4080;2;25;A50UF16201;Right Door Support Plate / Upper Caulkin;;D;1;1;
AccurioPress C4080;2;26;A50UF16301;Collection Box Door Support Plate / L;;D;1;1;
AccurioPress C4080;2;27;A50UF16400;Collection Box Door Support Plate / Uppe;;D;1;1;
AccurioPress C4080;2;28;AC57160100;Door /Front;;D;1;1;
AccurioPress C4080;2;29;A9VE160300;Toner supply  Door;;D;1;1;
AccurioPress C4080;2;30;A9VE160600;Collection  Door;;D;1;1;
AccurioPress C4080;2;31;A9VE164800;Toner supply  Duct;;D;1;1;
AccurioPress C4080;2;32;A9VE944901;Toner supply  Label;;D;1;1;
AccurioPress C4080;2;33;A5AW162000;Indicating Plate;;C;1;1;
AccurioPress C4080;2;34;A9JT944200;Label /KONICA MINOLTA;;D;1;1;
AccurioPress C4080;2;35;AC57174100;Seal;;D;1;5;
AccurioPress C4080;2;36;AC57174200;Seal;;D;1;5;
AccurioPress C4080;2;37;AC57174400;Mounting Part;;D;1;1;
AccurioPress C4080;2;a;V127030604;Screw;;V;;100;
AccurioPress C4080;2;b;V127040603;Screw;;V;;100;
AccurioPress C4080;2;c;V158030803;Screw;;V;;100;
AccurioPress C4080;2;d;V158030804;screw;;V;;100;
AccurioPress C4080;2;e;V158031003;screw;;V;;100;
AccurioPress C4080;2;f;V234201450;Pin;;V;;100;
AccurioPress C4080;2;g;V126030603;Screw;;V;;100;
AccurioPress C4080;3;1;A1DU163402;Protection  Cover;;D;1;1;
AccurioPress C4080;3;2;AC57161002;Cover Part;;D;1;1;KOM251115E0
AccurioPress C4080;3;3;A9VE162400;Cover  Part  /Inside;;D;1;1;
AccurioPress C4080;3;4;A9VE163900;Replacement  Cover;;D;1;1;
AccurioPress C4080;3;5;A50U175001;Reinforce  Plate;;D;1;1;
AccurioPress C4080;3;6;A9VE168800;Click Cover;;D;6;5;
AccurioPress C4080;3;7;A161940602;Label;;D;1;5;KOM221500E1
AccurioPress C4080;3;8;A9VE161400;Read  Cover  /Right;;D;1;1;
AccurioPress C4080;3;9;A55D941100;Caution  Label;;D;1;1;KOM221500E1
AccurioPress C4080;3;10;A795167800;Read  Cover  /Upper;;C;1;1;
AccurioPress C4080;3;11;A9JT170601;Read  Cover;;D;1;1;
AccurioPress C4080;3;12;A9VE161100;Cover  Plate  /Left;;D;1;1;
AccurioPress C4080;3;13;A9VE161200;Read  Cover  /Rear;;D;1;1;
AccurioPress C4080;3;14;A9VE161301;Read  Cover  /Right rear;;D;1;1;
AccurioPress C4080;3;15;AC57942101;Label  /A;;D;1;1;KOM231314E0
AccurioPress C4080;3;a;V114040604;Screw;;V;;100;
AccurioPress C4080;3;b;V114041004;screw;;V;;100;
AccurioPress C4080;3;c;V121040604;screw;;V;;100;
AccurioPress C4080;3;d;V127040603;Screw;;V;;100;
AccurioPress C4080;3;e;V158030803;Screw;;V;;100;
AccurioPress C4080;3;f;V114040804;screw;;V;;1;
AccurioPress C4080;3;g;V116030804;Screw;;V;;100;
AccurioPress C4080;4;1;A00J945401;Label Dehumidifier SW.;;C;1;5;
AccurioPress C4080;4;2;A50U163700;Mounting  Plate  /Upper;;D;1;1;
AccurioPress C4080;4;3;A50U167801;Holding  Part;;D;3;5;
AccurioPress C4080;4;4;A9JT942401;Caution  Label;C,I;D;1;1;
AccurioPress C4080;4;5;A9VE162300;Paper exit Cover /2;;D;1;1;
AccurioPress C4080;4;6;AC57163002;Paper exit Cover /Left;;D;1;1;KOM251063E0
AccurioPress C4080;4;7;AC57163501;Protection Cover /1;;D;1;1;KOM251063E0
AccurioPress C4080;4;8;A9VE163601;Cover /Rear;;D;1;1;KOM251063E0
AccurioPress C4080;4;9;A9VE163801;Entrance Plate;;D;1;1;KOM251063E0
AccurioPress C4080;4;10;A9VE169500;Cover /A;;D;1;1;KOM220064E0
AccurioPress C4080;4;11;A9VE942600;Caution  Label;;D;1;1;
AccurioPress C4080;4;12;A9VE942301;Caution  Label;;D;1;1;
AccurioPress C4080;4;13;AC57163101;Cover;;D;1;1;KOM251063E0
AccurioPress C4080;4;a;V114040604;Screw;;V;;100;
AccurioPress C4080;4;b;V127030604;Screw;;V;;100;
AccurioPress C4080;4;c;V158030804;screw;;V;;100;
AccurioPress C4080;5;1;A93EM10600;Fan motor;;C;4;1;
AccurioPress C4080;5;2;65AA11300;Support Part;;D;1;1;
AccurioPress C4080;5;3;65AA11430;FAN SEALING PART 3;;C;1;1;
AccurioPress C4080;5;4;A034M50000;Humidity sensor;;C;1;1;KOM210385E7
AccurioPress C4080;5;4;A0P0M50400;Humidity sensor;;C;1;1;KOM210385E7
AccurioPress C4080;5;5;AC57M15800;Cooling Fan;;C;1;1;
AccurioPress C4080;5;6;A0G6411200;Magnet /X;;D;2;1;
AccurioPress C4080;5;7;A4EUM60000;Power source  Switch;;C;1;1;
AccurioPress C4080;5;8;A50U102900;Mounting  Plate;;D;1;1;
AccurioPress C4080;5;9;A50U120600;Fixing  Plate;;D;1;5;
AccurioPress C4080;5;10;AC57121000;Duct;;D;1;1;
AccurioPress C4080;5;11;A50U121300;Cooling  Seal  /Front;;D;3;5;
AccurioPress C4080;5;12;AC57121600;Duct;(S/No.AC57xxx010001-);D;1;1;KOM210156E0
AccurioPress C4080;5;12;AC57121400;Duct  /2;(S/No.AC57xxx020001-);D;1;1;KOM210156E0
AccurioPress C4080;5;13;A50U122103;Cooling  Duct;;D;1;1;
AccurioPress C4080;5;14;A50U949600;Replacement  Label;;D;2;5;
AccurioPress C4080;5;15;A50U123800;Cover;(S/No.AC57xxx010001-);D;1;1;KOM210156E0
AccurioPress C4080;5;15;AC57123800;Cover;(S/No.AC57xxx020001-);D;1;1;KOM210156E0
AccurioPress C4080;5;16;A50U124100;Duct;;D;1;1;
AccurioPress C4080;5;17;A50U124900;Cover  Sheet;;D;1;5;
AccurioPress C4080;5;18;A50UF12000;Fusing Front Cooling Duct Support Shaft;;D;1;1;
AccurioPress C4080;5;19;A50U125901;Fixing  Screw;;D;1;1;
AccurioPress C4080;5;20;A50U126501;Mounting Plate;;D;1;1;KOM250023E0
AccurioPress C4080;5;21;A50U126600;Mounting  Plate;;D;1;1;
AccurioPress C4080;5;22;A50U127401;Mounting  Plate;;D;1;1;
AccurioPress C4080;5;23;A50U127901;Cover;;D;1;1;
AccurioPress C4080;5;24;A50U164000;Cooling  Seal  /1;;D;3;5;
AccurioPress C4080;5;25;A50U167901;Cooling  Cover;;D;1;1;
AccurioPress C4080;5;26;A50U172100;PH Dust-proof Filter;;B;1;1;
