model;section_name;page_number;ref_number;part_code;name;destination;class;quantity;ship_unit;pmn_no
C5070;External Parts;1;1;40AA32320;Toner Supply Spacer;;C;1;10;
C5070;External Parts;1;2;55VA90840;MAIN EARTH WIRE;;D;1;1;
C5070;External Parts;1;3;56AA12241;EXTERNAL LOCK PLATE;;D;1;1;
C5070;External Parts;1;4;A50U160500;Fixing  Plate;;D;1;1;
C5070;External Parts;1;5;A50U161502;Reinforce  Door  /Right;;D;1;1;
C5070;External Parts;1;6;AC57161600;Cover Duct /Front;;D;1;1;
C5070;External Parts;1;7;A50U161700;Sealing  Cushion  /1;;D;1;5;
C5070;External Parts;1;8;AC57161800;Seal;;D;2;5;
C5070;External Parts;1;9;A50U164100;Detecting  Actuator;;D;1;1;
C5070;External Parts;1;10;A50U164200;Detecting  Part;;D;1;1;
C5070;External Parts;1;11;A50U164901;Suction Dust-proof Filter;;A;1;1;
C5070;External Parts;1;12;A50U165500;Reinforce  Hinge;;D;1;1;
C5070;External Parts;1;13;A50U165600;Sealing  Cushion  /2;;D;1;5;
C5070;External Parts;1;14;A50U166100;Hinge  /Lower;;D;1;1;
C5070;External Parts;1;15;A50U166200;Support  Shaft  /Lower;;D;1;1;
C5070;External Parts;1;16;A50U167201;Lock  Cover;;D;1;1;
C5070;External Parts;1;17;A50U167500;Lock  Plate;;D;1;5;
C5070;External Parts;1;18;A50U167601;Detecting  Part;;D;1;1;
C5070;External Parts;1;19;A50U169900;Reinforce  Wire;;D;1;1;
C5070;External Parts;1;20;AC57174400;Mounting Part;;D;1;1;
C5070;External Parts;1;21;A50U945601;Operation  Label;;D;1;1;
C5070;External Parts;1;22;A50U946503;Operation  Label  /A;;D;1;1;
C5070;External Parts;1;23;A50UF16000;Left Door Support Plate / Upper Caulking;;D;1;1;
C5070;External Parts;1;24;A50UF16101;Right Door Support Plate / Lower Caulkin;;D;1;1;
C5070;External Parts;1;25;A50UF16201;Right Door Support Plate / Upper Caulkin;;D;1;1;
C5070;External Parts;1;26;A50UF16301;Collection Box Door Support Plate / L;;D;1;1;
C5070;External Parts;1;27;A50UF16400;Collection Box Door Support Plate / Uppe;;D;1;1;
C5070;External Parts;1;28;AC57160100;Door /Front;;D;1;1;
C5070;External Parts;1;29;A9VE160300;Toner supply  Door;;D;1;1;
C5070;External Parts;1;30;A9VE160600;Collection  Door;;D;1;1;
C5070;External Parts;1;31;A9VE164800;Toner supply  Duct;;D;1;1;
C5070;External Parts;1;32;A9VE944901;Toner supply  Label;;D;1;1;
C5070;External Parts;1;33;AC57174100;Seal;;D;1;5;
C5070;External Parts;1;34;AC57174200;Seal;;D;1;5;
C5070;External Parts;1;35;A5AW162000;Indicating Plate;;C;1;1;
C5070;External Parts;1;36;A9JT944200;Label /KONICA MINOLTA;;D;1;1;
C5070;External Parts;1;37;AEEJ947000;Indicating  Label;;D;1;1;
C5070;External Parts;2;1;AC57162700;Reinforce  Plate;;D;1;1;
C5070;External Parts;2;2;AC57162600;Cover;;D;1;1;
C5070;External Parts;2;3;AC57162001;Cover /Right;;D;1;1;
C5070;External Parts;2;4;AC57162101;Protection Cover /1;;D;1;1;
C5070;External Parts;2;5;AC57162201;Cover /Right;;D;1;1;
C5070;External Parts;2;6;A9VE162500;Protection  Cover  /Lower;;D;1;1;
