Code,Classification,Cause,Measures to take when an alert occurs,Estimated abnormal parts,Correction,Note,Solution,Faulty part isolation DIPSW,Control during the detachment
C-0002,Main body: Communication error,Communication error between the printer control board (PRCB) and the conveyance drive board (CDB).,when an alert occurs The main body and the option stop immediately.,• Conveyance drive board (CDB) • Printer control board (PRCB),Deactivate and activate the sub power switch (SW2) of the main body.,"- The message """"Please turn on power again"""" is displayed on the touch panel.","1. Prior check • On [Service Mode] → [Firmware Version] → [Firmware Version], make sure that the version of [Printer Sub CPU D2] is displayed. 2. Check the connector connection between PRCB and CDB, CN108 of PRCB, CN515 (relay connector), CN516 (relay connector), CN171 of CDB, and the wiring. Then, repair it when there is any abnormality. 3. Replace CDB. 4. Replace PRCB.",Control while detached,
C-0105,Main body: Paper exit motor abnormality,"When the paper exit motor (M30) is active, an error detection signal is detected continuously for a specified period of time.",when an alert occurs The main body and the option stop immediately.,• Paper exit motor (M30) • Printer control board (PRCB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (27-22) of the paper exit motor (M30) (400.0 mm/s). 3. When the result of the IO Check in the step 2 is normal, M30 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between PRCB and M30, CN114 of PRCB, CN236 (relay connector), CN225 of M30, and the wiring. Then repair it when there is any abnormality. 5. Check the connector connection between the DC power supply/7 (DCPS7) and M30, CN21 (relay connector), CN229 (relay connector), and the wiring. Then repair it when there is any abnormality. 6. Check the coupling of the gear of M30. Then repair it when there is any abnormality. 7. Replace M30. 8. Replace PRCB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",,
C-0108,Main body: ADU reverse motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU reverse motor (M41) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU reverse motor (M41) • Conveyance expansion board/2 (EXCDB/2) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (84-00) of the ADU reverse motor (M41) (Forward). 3. When the result of the IO Check in the step 2 is normal, M41 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/2 and M41, CN4 of EXCDB/2, CN476 (relay connector), CN443 of M41, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/2, CN168 and CN169 of CDB, CN2 and CN3 of EXCDB/2, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M41. Then repair it when there is any abnormality. 7. Replace M41. 8. Replace EXCDB/2. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0109,Main body: Registration motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the registration motor (M45) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Registration motor (M45) • Conveyance expansion board/1 (EXCDB/1) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (25-00) of the registration motor (M45) (200 mm/s). 3. When the result of the IO Check in the step 2 is normal, M45 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/1 and M45, CN4 of EXCDB/1, CN446 of M45, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/1, CN166 and CN167 of CDB, CN2 and CN3 of EXCDB/1, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M45. Then repair it when there is any abnormality. 7. Replace M45. 8. Replace EXCDB/1. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0110,Main body: Loop motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the loop motor (M42) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Loop motor (M42) • Conveyance expansion board/1 (EXCDB/1) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (26-00) of the loop motor (M42) (200 mm/s). 3. When the result of the IO Check in the step 2 is normal, M42 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/1 and M42, CN4 of EXCDB/1, CN456 (relay connector), CN447 of M42, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/1, CN166 and CN167 of CDB, CN2 and CN3 of EXCDB/1, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M42. Then repair it when there is any abnormality. 7. Replace M42. 8. Replace EXCDB/1. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0170,Main body: Intermediate conveyance motor/1 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the intermediate conveyance motor/1 (M60) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Intermediate conveyance motor/1 (M60) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (28-07) of intermediate conveyance motor/1 (M60). 3. When the result of the IO Check in the step 3 is normal, M60 is not abnormal. Go on to the step 5. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between CDB and M60, CN187 of CDB, CN460 of M60, and the wiring. Then, repair it when there is any abnormality. 5. Check the coupling of the gear of M60. Then repair it when there is any abnormality. 6. Replace M60. 7. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0171,Main body: Intermediate conveyance motor/2 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the intermediate conveyance motor/2 (M61) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Intermediate conveyance motor/2 (M61) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (28-08) of intermediate conveyance motor/2 (M61). 3. When the result of the IO Check in the step 3 is normal, M61 is not abnormal. Go on to the step 5. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between CDB and M61, CN187 of CDB, CN461 of M61, and the wiring. Then, repair it when there is any abnormality. 5. Check the coupling of the gear of M61. Then repair it when there is any abnormality. 6. Replace M61. 7. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0172,Main body: ADU intermediate conveyance motor/1 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU intermediate conveyance motor/1 (M63) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU intermediate conveyance motor/1 (M63) • Conveyance expansion board/2 (EXCDB/2) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (83-00) of the ADU intermediate conveyance motor/1 (M63). 3. When the result of the IO Check in the step 2 is normal, M63 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/2 and M63, CN5 of EXCDB/2, CN481 (relay connector), CN472 of M63, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/2, CN168 and CN169 of CDB, CN2 and CN3 of EXCDB/2, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M63. Then repair it when there is any abnormality. 7. Replace M63. 8. Replace EXCDB/2. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0173,Main body: ADU intermediate conveyance motor/2 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU intermediate conveyance motor/2 (M24) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU intermediate conveyance motor/2 (M24) • Conveyance expansion board/2 (EXCDB/2) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (83-10) of the ADU intermediate conveyance motor/2 (M24). 3. When the result of the IO Check in the step 2 is normal, M24 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/2 and M24, CN5 of EXCDB/2, CN462 of M24, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/2, CN168 and CN169 of CDB, CN2 and CN3 of EXCDB/2, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M24. Then repair it when there is any abnormality. 7. Replace M24. 8. Replace EXCDB/2. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0174,Main body: ADU intermediate conveyance motor/3 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU intermediate conveyance motor/3 (M25) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU intermediate conveyance motor/3 (M25) • Conveyance expansion board/2 (EXCDB/2) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (83-20) of the ADU intermediate conveyance motor/3 (M25). 3. When the result of the IO Check in the step 2 is normal, M25 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/2 and M25, CN6 of EXCDB/2, CN471 of M25, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/2, CN168 and CN169 of CDB, CN2 and CN3 of EXCDB/2, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M25. Then repair it when there is any abnormality. 7. Replace M25. 8. Replace EXCDB/2. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
