sensor_id,part_code,description,key,page,score
PS001,A50UM51000,Photointerrupter,9,4,1000
PS002,AC0C115400,Sensor Coil Spring /R,23,4,1000
PS003,A85CM55600,Photo Sensor,17,50,1000
PS004,AC0C507700,Sensor Plate /Rear,26,50,1000
PS006,AC0CM50200,Photointerrupter /S,13,140,1000
PS007,13QA85521,Sensor /2,1,114,1000
PS009,A85CM55600,Photo Sensor,18,121,1000
PS010,A85CM55600,Photo Sensor,12,135,1000
PS011,13QA85511,Conveyance Photo Sensor,2,115,1000
PS015,13QA85511,Conveyance Photo Sensor,1,137,1000
PS016,13QA85511,Conveyance Photo Sensor,1,137,1000
PS017,13QA85511,Conveyance Photo Sensor,2,135,1000
PS018,A85CM55600,Photo Sensor,4,45,1000
PS020,AC0CR77700,Compensating Sensor Assy,15,150,1000
PS021,A85CM55600,Photo Sensor,4,28,1000
PS022,A85CM55600,Photo Sensor,4,28,1000
PS023,A85CM55600,Photo Sensor,4,29,1000
PS024,A85CM55600,Photo Sensor,4,29,1000
PS025,A85CM55600,Photo Sensor,4,30,1000
PS026,A85CM55600,Photo Sensor,4,30,1000
PS027,A85CM55600,Photo Sensor,4,31,1000
PS028,A85CM55600,Photo Sensor,4,31,1000
PS031,A50UM51000,Photointerrupter,5,3,1000
PS032,A85CM55600,Photo Sensor,5,72,1000
PS033,A85CM55600,Photo Sensor,7,73,1000
PS034,A85CM55600,Photo Sensor,5,75,1000
PS035,A85CM55600,Photo Sensor,7,76,1000
PS036,A85CM55600,Photo Sensor,5,78,1000
PS037,A85CM55600,Photo Sensor,7,79,1000
PS038,A85CM55600,Photo Sensor,5,81,1000
PS039,A85CM55600,Photo Sensor,7,82,1000
PS042,A50UM51000,Photointerrupter,2,152,1000
PS043,A85CM55600,Photo Sensor,2,43,1000
PS044,A85CM55600,Photo Sensor,2,43,1000
PS045,A85CM55600,Photo Sensor,27,49,1000
PS046,65AA-9091E,Sensor Board Assy,1,109,1000
PS047,65AA-9091E,Sensor Board Assy,1,109,1000
PS049,A85CM55600,Photo Sensor,3,127,1000
PS050,A85CM55600,Photo Sensor,3,127,1000
PS052,13QA85511,Conveyance Photo Sensor,1,128,1000
PS053,13QA85511,Conveyance Photo Sensor,1,129,1000
PS054,13QA85511,Conveyance Photo Sensor,1,129,1000
PS055,13QA85511,Conveyance Photo Sensor,1,128,1000
PS056,A85CM55600,Photo Sensor,17,69,1000
PS057,A85CM55600,Photo Sensor,20,51,1000
PS058,A85CM55600,Photo Sensor,20,51,1000
PS059,A85CM55600,Photo Sensor,20,51,1000
PS060,A85CM55600,Photo Sensor,26,143,1000
PS061,A85CM55600,Photo Sensor,7,59,1000
PS062,A85CM55600,Photo Sensor,8,63,1000
PS063,A03TM50000,Photoreflector,3,62,1000
PS064,A85CM55600,Photo Sensor,12,93,1000
PS065,A85CM55600,Photo Sensor,12,93,1000
PS066,A85CM55600,Photo Sensor,12,95,1000
PS067,A85CM55600,Photo Sensor,12,95,1000
PS068,A85CM55600,Photo Sensor,12,97,1000
PS069,A85CM55600,Photo Sensor,12,97,1000
PS070,A85CM55600,Photo Sensor,12,99,1000
PS071,A85CM55600,Photo Sensor,12,99,1000
PS074,A85CM55600,Photo Sensor,13,93,1000
PS075,A85CM55600,Photo Sensor,13,95,1000
PS076,A85CM55600,Photo Sensor,13,97,1000
PS077,A85CM55600,Photo Sensor,13,99,1000
PS079,A85CM55600,Photo Sensor,17,144,1000
PS081,A50UM51000,Photointerrupter,17,38,1000
PS082,A50UM51000,Photointerrupter,17,38,1000
PS083,A50UM51000,Photointerrupter,7,5,1000
PS084,A85CM55600,Photo Sensor,9,55,1000
PS085,AC0CR71300,Exit Sensor Assy,14,150,1000
PS088,A85CM55600,Photo Sensor,10,148,1000
PS089,A85CM55600,Photo Sensor,11,147,1000
PS090,13QA85511,Conveyance Photo Sensor,1,149,1000
PS091,13QA85511,Conveyance Photo Sensor,1,149,1000
PS092,A85CM55600,Photo Sensor,11,120,1000
PS093,A85CM55600,Photo Sensor,11,147,1000
PS094,A85CM55600,Photo Sensor,13,53,1000
PS095,A85CM55600,Photo Sensor,13,53,1000
PS096,A85CM55600,Photo Sensor,11,57,1000
PS097,A85CM55600,Photo Sensor,11,57,1000
PS098,A85CM55600,Photo Sensor,11,57,1000
PS099,A85CM55600,Photo Sensor,11,85,1000
PS100,A85CM55600,Photo Sensor,5,86,1000
PS101,A85CM55600,Photo Sensor,5,86,1000
PS102,A85CM55600,Photo Sensor,5,86,1000
PS103,A85CM55600,Photo Sensor,15,132,1000
PS104,A85CM55600,Photo Sensor,15,132,1000
PS105,13QA85511,Conveyance Photo Sensor,1,152,1000
PS106,A85CM55600,Photo Sensor,11,125,1000
PS107,A85CM55600,Photo Sensor,11,125,1000
PS108,A85CM55600,Photo Sensor,7,130,1000
PS109,ACCXM50100,Detection Sensor /E,13,128,1000
PS110,A85CM55600,Photo Sensor,7,59,1000
PS122,A85CM55600,Photo Sensor,3,127,1000
